type,unit,amount,FY
academic unit,SCHOOL OF DENTISTRY,16,2014
academic unit,SCHOOL OF MEDICINE,121,2014
academic unit,SCHOOL OF NURSING,11,2014
academic unit,SCHOOL OF PHARMACY,10,2014
academic unit,SCH OF PUBLIC HEALTH,19,2014
academic unit,MEDICAL CENTERS,12,2014
university unit,President,3,2015
university unit,ATTORNEY GENERAL,3,2015
university unit,PROVOST,16,2015
university unit,PLANNING & BUDGETING,5,2015
university unit,MINORITY AFFAIRS,7,2015
university unit,LIBRARIES,35,2015
university unit,UW FINANCE&FACILITIES,120,2015
university unit,HUMAN RESOURCES,10,2015
university unit,UW INFO TECH,50,2015
university unit,STUDENT LIFE,12,2015
university unit,EXTERNAL AFFAIRS,5,2015
university unit,DEVELOPMENT,12,2015
university unit,RESEARCH,13,2015
university unit,CENTER FOR COMMERCIALIZATION,1,2015
university unit,EDUCATIONAL OUTREACH,2,2015
university unit,GRADUATE SCHOOL,8,2015
university unit,UNDERGRAD ACAD AFFAIRS,7,2015
university unit,HEALTH SCIENCES ADMIN,15,2015
university unit,MEDICAL AFFAIRS,1,2015
university unit,Debt Service and/or Transfers,85,2015
academic unit,BUILT ENVIRONMENTS,10,2015
academic unit,COLL ARTS & SCIENCES,191,2015
academic unit,FOSTER BUSINESS SCHOOL,28,2015
academic unit,COLLEGE OF EDUCATION,14,2015
academic unit,COLLEGE OF ENGINEERING,68,2015
academic unit,COLLEGE OF ENVIRONMENT,42,2015
academic unit,THE INFORMATION SCHOOL,6,2015
academic unit,SCHOOL OF LAW,15,2015
academic unit,EVANS SCH OF PUBLIC AF,6,2015
academic unit,SCHOOL OF SOCIAL WORK,8,2015
academic unit,SCHOOL OF DENTISTRY,16,2015
academic unit,SCHOOL OF MEDICINE,128,2015
academic unit,SCHOOL OF NURSING,12,2015
academic unit,SCHOOL OF PHARMACY,11,2015
academic unit,SCH OF PUBLIC HEALTH,17,2015
academic unit,MEDICAL CENTERS,13,2015
